surrogate key,date,month,year
728,2022-03-12,3,2022
729,2022-03-13,3,2022
730,2022-03-14,3,2022
731,2022-03-15,3,2022
732,2022-03-17,3,2022
733,2022-03-19,3,2022
734,2022-03-19,3,2022
735,2022-03-19,3,2022
736,2022-03-19,3,2022
737,2022-03-23,3,2022
738,2022-03-23,3,2022
739,2022-03-23,3,2022
740,2022-03-24,3,2022
741,2022-03-24,3,2022
742,2022-03-24,3,2022
743,2022-03-25,3,2022
744,2022-03-25,3,2022
745,2022-03-28,3,2022
746,2022-03-28,3,2022
747,2022-03-29,3,2022
748,2022-03-31,3,2022
749,2022-03-31,3,2022
750,2022-04-02,4,2022
751,2022-04-02,4,2022
752,2022-04-02,4,2022
753,2022-04-03,4,2022
754,2022-04-03,4,2022
755,2022-04-04,4,2022
756,2022-04-05,4,2022
757,2022-04-06,4,2022
758,2022-04-08,4,2022
759,2022-04-09,4,2022
760,2022-04-10,4,2022
761,2022-04-10,4,2022
762,2022-04-10,4,2022
763,2022-04-10,4,2022
764,2022-04-13,4,2022
765,2022-04-15,4,2022
766,2022-04-15,4,2022
767,2022-04-15,4,2022
768,2022-04-16,4,2022
769,2022-04-16,4,2022
770,2022-04-17,4,2022
771,2022-04-18,4,2022
772,2022-04-24,4,2022
773,2022-04-25,4,2022
774,2022-04-26,4,2022
775,2022-04-26,4,2022
776,2022-04-27,4,2022
777,2022-04-27,4,2022
778,2022-04-28,4,2022
779,2022-04-28,4,2022
780,2022-04-28,4,2022
781,2022-04-30,4,2022
782,2022-04-30,4,2022
783,2022-04-30,4,2022
784,2022-04-30,4,2022
785,2022-05-09,5,2022
786,2022-05-11,5,2022
787,2022-05-12,5,2022
788,2022-05-17,5,2022
789,2022-05-18,5,2022
790,2022-05-19,5,2022
791,2022-05-19,5,2022
792,2022-05-19,5,2022
793,2022-05-20,5,2022
794,2022-05-20,5,2022
795,2022-05-22,5,2022
796,2022-05-22,5,2022
797,2022-05-25,5,2022
798,2022-05-25,5,2022
799,2022-05-25,5,2022
800,2022-05-28,5,2022
801,2022-05-28,5,2022
802,2022-05-29,5,2022
803,2022-05-29,5,2022
804,2022-05-29,5,2022
805,2022-05-30,5,2022
806,2022-05-30,5,2022
807,2022-05-30,5,2022
808,2022-05-30,5,2022
809,2022-05-31,5,2022
810,2022-06-05,6,2022
811,2022-06-05,6,2022
812,2022-06-05,6,2022
813,2022-06-06,6,2022
814,2022-06-08,6,2022
815,2022-06-09,6,2022
816,2022-06-10,6,2022
817,2022-06-11,6,2022
818,2022-06-11,6,2022
819,2022-06-16,6,2022
820,2022-06-17,6,2022
821,2022-06-17,6,2022
822,2022-06-18,6,2022
823,2022-06-19,6,2022
824,2022-06-20,6,2022
825,2022-06-22,6,2022
826,2022-06-22,6,2022
827,2022-06-24,6,2022
828,2022-06-25,6,2022
829,2022-06-27,6,2022
830,2022-06-29,6,2022
831,2022-06-30,6,2022
832,2022-06-30,6,2022
833,2022-07-01,7,2022
834,2022-07-01,7,2022
835,2022-07-01,7,2022
836,2022-07-02,7,2022
837,2022-07-03,7,2022
838,2022-07-05,7,2022
839,2022-07-05,7,2022
840,2022-07-07,7,2022
841,2022-07-08,7,2022
842,2022-07-08,7,2022
843,2022-07-08,7,2022
844,2022-07-11,7,2022
845,2022-07-11,7,2022
846,2022-07-12,7,2022
847,2022-07-13,7,2022
848,2022-07-13,7,2022
849,2022-07-16,7,2022
850,2022-07-20,7,2022
851,2022-07-20,7,2022
852,2022-07-20,7,2022
853,2022-07-23,7,2022
854,2022-07-24,7,2022
855,2022-07-24,7,2022
856,2022-07-25,7,2022
857,2022-07-25,7,2022
858,2022-07-25,7,2022
859,2022-07-26,7,2022
860,2022-07-26,7,2022
861,2022-07-28,7,2022
862,2022-07-28,7,2022
863,2022-07-29,7,2022
864,2022-08-01,8,2022
865,2022-08-01,8,2022
866,2022-08-03,8,2022
867,2022-08-03,8,2022
868,2022-08-04,8,2022
869,2022-08-06,8,2022
870,2022-08-06,8,2022
871,2022-08-08,8,2022
872,2022-08-08,8,2022
873,2022-08-10,8,2022
874,2022-08-12,8,2022
875,2022-08-12,8,2022
876,2022-08-13,8,2022
877,2022-08-13,8,2022
878,2022-08-16,8,2022
879,2022-08-18,8,2022
880,2022-08-19,8,2022
881,2022-08-19,8,2022
882,2022-08-20,8,2022
883,2022-08-20,8,2022
884,2022-08-21,8,2022
885,2022-08-22,8,2022
886,2022-08-23,8,2022
887,2022-08-23,8,2022
888,2022-08-24,8,2022
889,2022-08-24,8,2022
890,2022-08-25,8,2022
891,2022-08-26,8,2022
892,2022-08-26,8,2022
893,2022-08-28,8,2022
894,2022-08-28,8,2022
895,2022-08-29,8,2022
896,2022-08-30,8,2022
897,2022-08-30,8,2022
898,2022-08-31,8,2022
899,2022-08-31,8,2022
900,2022-08-31,8,2022
901,2022-09-04,9,2022
902,2022-09-05,9,2022
903,2022-09-06,9,2022
904,2022-09-07,9,2022
905,2022-09-09,9,2022
906,2022-09-10,9,2022
907,2022-09-11,9,2022
908,2022-09-12,9,2022
909,2022-09-14,9,2022
910,2022-09-14,9,2022
911,2022-09-18,9,2022
912,2022-09-20,9,2022
913,2022-09-21,9,2022
914,2022-09-22,9,2022
915,2022-09-24,9,2022
916,2022-09-26,9,2022
917,2022-09-26,9,2022
918,2022-09-27,9,2022
919,2022-09-30,9,2022
920,2022-09-30,9,2022
921,2022-10-02,10,2022
922,2022-10-02,10,2022
923,2022-10-05,10,2022
924,2022-10-09,10,2022
925,2022-10-10,10,2022
926,2022-10-10,10,2022
927,2022-10-11,10,2022
928,2022-10-12,10,2022
929,2022-10-15,10,2022
930,2022-10-16,10,2022
931,2022-10-18,10,2022
932,2022-10-19,10,2022
933,2022-10-20,10,2022
934,2022-10-21,10,2022
935,2022-10-22,10,2022
936,2022-10-23,10,2022
937,2022-10-24,10,2022
938,2022-10-24,10,2022
939,2022-10-28,10,2022
940,2022-10-29,10,2022
941,2022-10-31,10,2022
942,2022-11-01,11,2022
943,2022-11-02,11,2022
944,2022-11-02,11,2022
945,2022-11-02,11,2022
946,2022-11-03,11,2022
947,2022-11-03,11,2022
948,2022-11-03,11,2022
949,2022-11-04,11,2022
950,2022-11-04,11,2022
951,2022-11-05,11,2022
